"L1_cond"	"active"	"ax"	"ay"	"az"	"curvature"	"dens"	"densityDot"	"e1x"	"e1y"	"e1z"	"e2x"	"e2y"	"e2z"	"e3x"	"e3y"	"e3z"	"freeSurface"	"fxSensed"	"fxx"	"fxy"	"fxz"	"fySensed"	"fyx"	"fyy"	"fyz"	"fzSensed"	"fzx"	"fzy"	"fzz"	"ghost"	"h"	"hdot"	"heatSensed"	"lambdax"	"lambday"	"lambdaz"	"mass"	"nx"	"ny"	"nz"	"particleDensity"	"px"	"py"	"pz"	"rx"	"ry"	"rz"	"sxx"	"sxy"	"sxz"	"syx"	"syy"	"syz"	"szx"	"szy"	"szz"	"temp"	"tgx"	"tgy"	"tgz"	"vol"	"vx"	"vy"	"vz"	"x"	"xo"	"y"	"yo"	"z"	"zo"	"vtkOriginalPointIds"	"Points:0"	"Points:1"	"Points:2"
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.575	0.575	0	0	6526	1	0.575	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.5875	0.5875	0	0	6527	1	0.5875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.6	0.6	0	0	6528	1	0.6	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.6125	0.6125	0	0	6529	1	0.6125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.625	0.625	0	0	6530	1	0.625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.6375	0.6375	0	0	6531	1	0.6375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.65	0.65	0	0	6532	1	0.65	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.6625	0.6625	0	0	6533	1	0.6625	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.675	0.675	0	0	6534	1	0.675	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.6875	0.6875	0	0	6535	1	0.6875	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.7	0.7	0	0	6536	1	0.7	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.7125	0.7125	0	0	6537	1	0.7125	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.725	0.725	0	0	6538	1	0.725	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.7375	0.7375	0	0	6539	1	0.7375	0
0	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.15545	0	0	0	0.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7183	0	0	0	0.00015545	0	0	0	1	1	0.75	0.75	0	0	6540	1	0.75	0
